순번,이름,주소,메모,위도,경도,등록일
155,"화상손만두 낙성대점","서울 관악구 남부순환로244길 18 1층 (봉천동)","",37.47627495,126.96294999,"2025-10-26 08:45:13"
156,"칸다소바 홍대점","서울 마포구 와우산로 51-6 1층 (상수동)","",37.54928723,126.92267728,"2025-10-26 21:43:35"
157,"항상좋은날","부산 부산진구 안창로72번길 64-3 (범천동)","",35.14470613,129.03907422,"2025-10-31 16:36:58"
158,"성북손두부","서울 성북구 보문로32길 33 1층 (동선동2가)","",37.59009382,127.01806631,"2025-11-02 17:04:12"
159,"오르비에토","서울 성북구 보문로32길 96 1층 (동선동2가)","",37.59033111,127.02149938,"2025-11-02 17:04:57"
160,"팔백집 본점","서울 성북구 보문로30길 46 1층 (동선동2가)","",37.58947726,127.019837,"2025-11-02 17:06:04"
161,"공푸","서울 성북구 삼선교로24길 29 1층 (삼선동5가)","",37.58878226,127.01611401,"2025-11-02 17:06:55"
162,"라라면가","서울 성북구 동소문로22길 57-25 1층 (동선동2가)","",37.5909405,127.01965622,"2025-11-02 17:07:24"
163,"본크레페","서울 성북구 동소문로20다길 30 1층 (동선동1가)","",37.59202552,127.0182887,"2025-11-02 17:07:54"
164,"크롭커피","서울 성북구 보문로34길 31 1-2층 (동선동1가)","",37.59070664,127.01711082,"2025-11-02 18:27:48"
165,"상미규카츠","서울 성북구 동소문로20길 39 (동선동1가)","",37.59081838,127.01699309,"2025-11-02 18:28:26"
166,"홍릉각","서울 동대문구 약령시로 90 1층 (제기동)","",37.5828841,127.03996485,"2025-11-02 23:35:25"
167,"충청도식당","서울 동대문구 경동시장로12길 26 1층 (제기동)","",37.5820833,127.04202944,"2025-11-02 23:39:55"
168,"남문매운오뎅","경기 수원시 팔달구 중부대로3번길 15 1층 (팔달로3가)","",37.27597444,127.01713404,"2025-11-03 22:30:36"
169,"정애네손만두어묵","경기 수원시 팔달구 중부대로3번길 18 1층 (팔달로3가)","",37.27602486,127.01734152,"2025-11-03 22:31:50"
170,"수원성남문떡볶이 본점","경기 수원시 팔달구 중부대로7번길 16 1층 (영동)","",37.27594912,127.0176978,"2025-11-03 22:33:50"
171,"추억의도너츠","경기 수원시 팔달구 수원천로264번길 3 (지동)","",37.27701926,127.01960587,"2025-11-03 22:36:52"
172,"원조엄마네","경기 수원시 팔달구 팔달문로 19 지동시장 1층 1호 (지동)","",37.27800677,127.01975948,"2025-11-03 22:37:20"
173,"북서울꿈의숲","서울 강북구 월계로 173 (번동)","",37.62360831,127.04157252,"2025-11-04 15:34:43"
174,"메이플아지트","서울 강남구 강남대로 364 1층 (역삼동)","",37.49554428,127.02928847,"2025-11-05 14:02:07"
175,"알앤디69","경기 수원시 팔달구 화서문로32번길 15 1층 (신풍동)","",37.28435473,127.01204342,"2025-11-08 10:00:42"
176,"중평떡볶이 본점","경기 수원시 팔달구 효원로265번길 44 청산빌딩 1층 (인계동)","",37.26398039,127.03164718,"2025-11-08 10:03:26"
177,"동떡이즉석떡볶이 아주대점","경기 수원시 영통구 아주로 22 1층 (원천동)","",37.2767892,127.04413224,"2025-11-08 10:05:35"
178,"떡볶이하우스","경기 수원시 영통구 산남로 28 1층 (매탄동)","",37.26551346,127.04900947,"2025-11-08 10:09:18"
179,"레알떡볶이","경기 수원시 영통구 봉영로 1623 133-2호 (영통동)","",37.25585171,127.07463656,"2025-11-08 10:10:52"
180,"송도국제도서관","인천 연수구 아카데미로 166 (송도동)","",37.38052107,126.63197291,"2025-11-08 20:08:36"
181,"반계리 은행나무","강원특별자치도 원주시 문막읍 반계리 1495-1","",37.29425009,127.78843105,"2025-11-17 06:43:26"
182,"뮤지엄한미 삼청","서울 종로구 삼청로9길 45 (삼청동)","",37.58786277,126.98067067,"2025-11-24 03:01:14"
183,"안중근의사기념관","서울 중구 소월로 91 (남대문로5가)","",37.55352399,126.98040793,"2025-11-24 03:01:59"
184,"오동숲속도서관","서울 성북구 화랑로13가길 110-10 1층 (하월곡동)","",37.61015857,127.04095344,"2025-11-24 03:03:20"
185,"중림창고","서울 중구 서소문로6길 33 (중림동)","",37.5597236,126.96745401,"2025-11-24 03:04:23"
186,"광장818","서울 강남구 강남대로94길 15 2층 (역삼동)","",37.49963502,127.02859344,"2025-11-24 23:27:30"
187,"놀란치킨 강남역본점","서울 서초구 서초대로74길 29 서초파라곤 1층 101호 (서초동)","",37.49515188,127.02746091,"2025-11-24 23:31:18"
188,"남산자락숲길","서울 성동구 금호동2가 1209-2","",37.55327578,127.01657263,"2025-11-26 07:20:45"
189,"남미플랜트랩","서울 서초구 방배천로4안길 55 2층 (방배동)","",37.48060801,126.98323088,"2025-11-26 07:21:16"
190,"표표마라탕 사당점","서울 관악구 남현2길 8 1층 (남현동)","",37.47597577,126.97694163,"2025-11-26 07:22:34"
191,"개성집","서울 서초구 청두곶13길 22 동일빌딩 1층 (방배동)","",37.48170739,126.9842889,"2025-11-26 07:24:00"
192,"우터커피","서울 동작구 동작대로9길 52 1층 101호 (사당동)","",37.48075504,126.97864511,"2025-11-26 07:25:38"
193,"리요리요커피","서울 서초구 방배천로18길 11 아르떼상가 B동 104호 (방배동)","",37.48282456,126.98368717,"2025-11-26 07:26:35"
194,"키친콤마 강남점","서울 서초구 강남대로 495 동일빌딩 1층 (반포동)","",37.5063577,127.02322605,"2025-11-27 00:13:11"
195,"피트스탑","인천 강화군 길상면 해안남로117번길 47 1층 106~107호 (길상면 초지리)","",37.6180965,126.54034059,"2025-11-27 05:43:24"
196,"악어봉","충북 충주시 살미면 신당리 산 30-1","",36.91755553,128.04414513,"2025-11-29 10:01:43"
197,"브뤼셀프라이 수원행궁본점","경기 수원시 팔달구 화서문로17번길 30 1층 1호 (장안동)","",37.28613528,127.01106487,"2025-12-01 15:24:47"
198,"이함캠퍼스","경기 양평군 강하면 강남로 370-10 (강하면 전수리)","",37.50213158,127.42511495,"2025-12-02 06:35:32"
